#TYPE System.Management.Automation.PSCustomObject
"Name","IP Address","OS"
"ADAPTER1","10.0.0.28","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"ADAPTER2","10.0.0.29","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"ADAPTER3","10.0.0.30","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"ADAPTER4","10.0.0.35","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"ADAPTER5","10.0.0.36","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"ADAPTER7","10.0.0.20","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"ADAPTERTEST","10.0.0.31","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"ADMINWEB","10.0.0.89","Microsoft? Windows Server? 2008 Standard "
"DCEBANK81","10.0.0.50","Microsoft? Windows Server? 2008 Standard "
"DCEBANK82","10.0.0.203","Microsoft? Windows Server? 2008 Standard "
"MB-APP-2","10.0.0.93","Microsoft? Windows Server? 2008 Standard "
"MB-APPTEST-1","10.0.0.191","Microsoft? Windows Server? 2008 Standard "
"MQDATATEST1","10.0.0.66","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"OB-ADAPTER2","10.0.0.215","Microsoft Windows Server 2008 R2 Standard "
"OB-ADAPTERTEST1","10.0.0.78","Microsoft? Windows Server? 2008 Standard "
"OB-GATEWAY1","10.0.0.46","Microsoft? Windows Server? 2008 Standard "
"SSEBANK1","10.0.0.158","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"SSEBANK2","10.0.0.159","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"VPNEBANK1","::1","Microsoft Windows Server 2012 R2 Standard"
"VPNEBANK1","10.0.0.220","Microsoft Windows Server 2012 R2 Standard"
"VQTRANSFER1","10.0.0.65","Microsoft(R) Windows(R) Server 2003, Standard Edition"
"VQTRANSFER11","10.0.0.62","Microsoft(R) Windows(R) Server 2003, Standard Edition"
