#TYPE VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","ExtensionData","CustomFields","Id","Uid","Client"
"ADFSNLB1","PoweredOn","","ADFSNLB1:Microsoft Windows Server 2012 (64-bit)","2","1","4096","4","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/40960","v10","502ccc46-e3be-8e73-aeb9-2abc8d7a0973","windows8Server64Guest","44.856980080716311931610107422","44.856980619020760059356689453","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-12013","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-12013/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Logsrv","PoweredOn","","Logsrv:Microsoft Windows Server 2003 Standard (32-bit)","2","1","1024","1","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v52","Discovered virtual machine","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/10240","v10","500ad860-7720-f620-08c8-d1fcc2c66be3","winNetStandardGuest","40.139417913742363452911376953","41.139419029466807842254638672","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-140","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-140/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"NSVPX2-ESX","PoweredOn","","NSVPX2-ESX:Oracle Solaris 10 (64-bit)","2","1","2048","2","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","502c49e9-6157-ce96-e4f5-511c78fed978","solaris10_64Guest","22.112271859310567378997802734","22.112272406928241252899169922","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-12530","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-12530/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"sfb-fe","PoweredOn","","sfb-fe:Microsoft Windows Server 2012 (64-bit)","4","1","8192","8","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v10","502c1805-4c53-839d-e5ae-f39cf2d533f9","windows8Server64Guest","88.11448499187827110290527344","88.11448552832007408142089844","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-22657","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-22657/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"BibEx","PoweredOn","","BibEx:Microsoft Windows Server 2012 (64-bit)","4","2","12288","12","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","502cce5d-443d-baee-ee3b-0e5977dcd934","windows8Server64Guest","110.11820150166749954223632812","122.11820254940539598464965820","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-19875","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-19875/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"NTP-DMZ2","PoweredOn","","NTP-DMZ2:CentOS 4/5/6/7 (64-bit)","1","1","1024","1","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v16516","DMZ","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v10","503a15c2-6d9e-e478-08f2-8c834ab19653","centos64Guest","8.108415674418210983276367188","9.108416212722659111022949219","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-69","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-69/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"CC-App","PoweredOn","","CC-App:Microsoft Windows Server 2008 (32-bit)","2","1","4096","4","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","500a790d-2bc2-c354-4483-0e6f074d87aa","winLonghornGuest","43.295662001706659793853759766","47.295662628486752510070800782","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-11786","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-11786/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"TRE-202-PTA1","PoweredOn","","TRE-202-PTA1:Microsoft Windows 7 (64-bit)","2","2","4096","4","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v10","502cac78-3f71-4bd1-5b7f-9fc0f5073b33","windows7_64Guest","64.129207582212984561920166016","64.129208128899335861206054688","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-19926","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-19926/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"CCSQL","PoweredOn","","CCSQL:Microsoft Windows Server 2008 R2 (64-bit)","4","1","8192","8","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v52","Discovered virtual machine","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v10","500a3092-4726-b67d-13fb-753139cb0f34","windows7Server64Guest","238.67789224628359079360961914","238.67789385560899972915649414","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-172","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-172/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"AlteonVA","PoweredOn","Alteon Application Switch (AAS) is a leading Application Delivery product.
AAS delivers a wide set of Application Switching and Application Acceleration features including SSL offloading, compression, TCP optimization, HTTP multiplexing, HTTP header and body modifications and more.
AAS VA is built as a Virtual Appliance for VMWare ESX 4.0 and ESX 4.1 environments.

Please note:
	1.  Network adapter 1 is utilized for out-of-band management.
2.  Network adapters 2 and 3 are utilized for data traffic forwarding and in-band management.","AlteonVA:Other Linux (64-bit)","2","1","1536","1.5","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v52","Discovered virtual machine","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/15360","v10","5006ded6-a083-c847-471a-09514136fea4","otherLinux64Guest","3.1113652549684047698974609375","3.1113657914102077484130859375","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-125","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-125/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
