#TYPE Microsoft.UpdateServices.Internal.BaseApi.ComputerTarget
"ComputerGroup","UpdateServer","Id","FullDomainName","IPAddress","Make","Model","BiosInfo","OSInfo","OSArchitecture","ClientVersion","OSFamily","OSDescription","ComputerRole","LastSyncTime","LastSyncResult","LastReportedStatusTime","LastReportedInventoryTime","RequestedTargetGroupName","RequestedTargetGroupNames","ComputerTargetGroupIds","ParentServerId","SyncsFromDownstreamServer"
"Prod2 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","b02f5a2b-3755-4073-8a1d-96f7e119f19d","dev_nlb12.deltabank.co.yu","10.34.2.191","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","x86","7.6.7600.256","Windows","Windows Server 2003 Standard Edition","Server","03.07.2017 05:16:52","Succeeded","03.07.2017 05:31:06","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod2 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","72c6c94a-ce22-498d-9d33-defd04db4641","obr-mas-32.deltabank.co.yu","10.35.131.54","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","x86","7.6.7600.256","Windows","Windows Server 2003 Standard Edition","Server","03.07.2017 05:56:57","Succeeded","03.07.2017 06:10:49","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod2 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","a2cdc8fa-d915-4136-a042-1bc89e87fc40","backup-node3.deltabank.co.yu","10.35.45.176","HP","ProLiant BL460c Gen8","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.6.7601.23735","Windows","Windows Server 2008 R2 Enterprise Edition","Server","02.07.2017 21:36:05","Succeeded","02.07.2017 22:23:02","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod2 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","d686e352-4323-4d48-ade9-6f9cd475ad0c","faktoring.deltabank.co.yu","10.34.2.80","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","x86","7.6.7600.256","Windows","Windows Server 2003 Standard Edition","Server","03.07.2017 04:19:02","Succeeded","03.07.2017 04:23:42","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod2 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","7f4092c8-af42-483c-ba7e-68ad077ea8ce","acs_pix_mig.deltabank.co.yu","10.35.5.106","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","x86","7.6.7600.256","Windows","Windows Server 2008 Standard Edition (full installation)","Server","02.07.2017 21:51:46","Succeeded","02.07.2017 22:02:45","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod2 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","a556f969-f239-4777-b527-67b94a2457bf","se-bg-interca.deltabank.co.yu","10.35.42.20","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","x86","7.6.7600.256","Windows","Windows Server 2008 Enterprise Edition (full installation)","Server","03.07.2017 11:09:56","Succeeded","03.07.2017 11:24:13","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod2 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","0aac4e86-7bfd-4959-a4ed-9d672c7d6655","se-bg-sql.deltabank.co.yu","10.35.221.25","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.6.7601.23806","Windows","Windows Server 2008 R2 Enterprise Edition","Server","02.07.2017 22:23:18","Succeeded","02.07.2017 22:31:08","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod2 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","63cc0f2d-867d-46ba-a409-71e71fba9e39","almpro2.deltabank.co.yu","10.34.2.142","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.6.7601.23806","Windows","Windows Server 2008 R2 Enterprise Edition","Server","03.07.2017 09:33:09","Succeeded","03.07.2017 09:39:47","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod2 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","bd1fe744-cebf-4a53-963c-8c26a68011c4","dc-ns-01.deltabank.co.yu","10.135.50.9","HP","ProLiant DL360 Gen9","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.8.9200.16384","Windows","Windows Server 2003 Standard x64 Edition","Server","02.07.2017 22:32:21","Succeeded","02.07.2017 22:32:23","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod2 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","74e1603d-e100-4044-bf69-a3acc0850bd7","krg-01-prn-01.deltabank.co.yu","10.34.9.218","Hewlett-Packard","HP Compaq 6000 Pro SFF PC","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.8.9200.16384","Windows","Windows Server 2003 Standard x64 Edition","Server","03.07.2017 11:04:25","Succeeded","03.07.2017 11:04:28","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
