#TYPE Microsoft.UpdateServices.Internal.BaseApi.ComputerTarget
"ComputerGroup","UpdateServer","Id","FullDomainName","IPAddress","Make","Model","BiosInfo","OSInfo","OSArchitecture","ClientVersion","OSFamily","OSDescription","ComputerRole","LastSyncTime","LastSyncResult","LastReportedStatusTime","LastReportedInventoryTime","RequestedTargetGroupName","RequestedTargetGroupNames","ComputerTargetGroupIds","ParentServerId","SyncsFromDownstreamServer"
"Prod1 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","e4132ed8-46c8-4fe5-a5c4-a323141bff04","questmw.deltabank.co.yu","10.34.2.30","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.6.7600.256","Windows","Windows Server 2008 Standard Edition (full installation)","Server","03.07.2017 11:03:22","Succeeded","03.07.2017 06:46:22","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod1 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","8f4a48ff-c023-4e84-8da6-e9c02b920d4c","nis-01-prn-01.deltabank.co.yu","10.34.13.218","Dell Inc.","OptiPlex 9020","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.9.9600.18696","Windows","Windows 6.3","Server","03.07.2017 08:22:12","Succeeded","03.07.2017 08:31:20","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod1 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","1e4cbeeb-dbb6-4971-bf80-734af7f658f1","projectsrv01.deltabank.co.yu","10.34.2.133","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.6.7601.23806","Windows","Windows Server 2008 R2 Standard Edition","Server","03.07.2017 08:31:50","Succeeded","03.07.2017 08:35:59","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod1 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","74f3a3b8-4df3-4a16-8dcd-3060a4fc5a7e","almpro1.deltabank.co.yu","10.34.2.141","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.6.7601.23806","Windows","Windows Server 2008 R2 Standard Edition","Server","03.07.2017 08:46:43","Succeeded","03.07.2017 08:51:14","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod1 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","0b9489c0-77a2-4457-984b-7b9f3e1b76d5","se-bg-06.deltabank.co.yu","10.35.221.145","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.9.9600.18696","Windows","Windows 6.3","Server","03.07.2017 06:37:21","Succeeded","03.07.2017 06:45:31","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod1 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","73139593-0405-4b49-9622-179bb2a87ae0","backup-node1.deltabank.co.yu","10.35.45.75","HP","ProLiant BL460c Gen8","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.6.7601.23806","Windows","Windows Server 2008 R2 Enterprise Edition","Server","03.07.2017 00:43:53","Succeeded","03.07.2017 00:58:15","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod1 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","c2850672-196f-4660-a962-72b29b17f259","dev_nlb11.deltabank.co.yu","10.34.2.190","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","x86","7.6.7600.256","Windows","Windows Server 2003 Standard Edition","Server","02.07.2017 23:00:03","Succeeded","02.07.2017 23:44:12","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod1 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","b20f1f9f-c176-489c-b572-ce1604e1c4ad","aexproprint.deltabank.co.yu","10.35.39.51","VMware, Inc.","VMware Virtual Platform","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","x86","7.6.7600.256","Windows","Windows Server 2003 Standard Edition","Server","03.07.2017 00:03:46","Succeeded","03.07.2017 00:17:51","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod1 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","fc2de0ae-7185-4a19-be8e-c1990487f822","int-rev-fs.deltabank.co.yu","10.35.45.17","HP","ProLiant DL320e Gen8","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.8.9200.16925","Windows","Windows Server 2003 Standard x64 Edition","Server","02.07.2017 22:30:13","Succeeded","02.07.2017 22:30:14","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
"Prod1 All Computers","Microsoft.UpdateServices.Internal.BaseApi.UpdateServer","7c3d89d8-6b60-4370-be24-d08ff03fec86","ciscoworks01.deltabank.co.yu","10.35.5.9","HP","ProLiant BL460c Gen8","Microsoft.UpdateServices.Administration.BiosInfo","Microsoft.UpdateServices.Administration.OSInfo","AMD64","7.6.7600.256","Windows","Windows Server 2008 Standard Edition (full installation)","Server","02.07.2017 22:22:44","Succeeded","02.07.2017 23:20:17","01.01.0001 00:00:00","","System.Collections.Specialized.StringCollection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Guid]","00000000-0000-0000-0000-000000000000","False"
